Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-6000,-6000,-0.1,-0.1,-221.915
Sales/Maturities of investments,-,-,700,-,-
Other investing activites,-932.924,-932.924,-580.96,2.232,-
Net cash used for investing activites,-6933,-6933,118.94,2.132,-22.112
Debt repayment,-4000,-4000,-,-36.889,-
Common stock issued,8850,8850,-,2324,1018
Net cash used privided by (used for) financing activities,8850,8850,-,2287,1018
Net change in cash,1293,1293,-436.584,1901,833.312
Cash at beginning of period,2650,2650,3086,1185,351.896
Cash at end of period,3943,3943,2650,3086,1185
Free Cash Flow,-623.682,-623.682,-555.524,-388.366,-162.7
