Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-424,-563,-319,-285,-297
Purchases of investments,-,-560,-,-,-255
Other investing activites,-,-,382,-747,-
Net cash used for investing activites,-499,-1024,-18,-951,-542
Common stock issued,-,2342,-,-,-
Dividends Paid,-,-7996,-6909,-6646,-6390
Net cash used privided by (used for) financing activities,-1978,-5654,-6909,-6646,-6390
Net change in cash,514,-1146,2266,609,-786
Cash at beginning of period,4954,5455,3189,2580,3366
Cash at end of period,5468,4309,5455,3189,2580
Capital Expenditure,-424,-563,-319,-285,-297
Free Cash Flow,2567,4969,8874,7921,5849
