Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,404804,523574,518929,395262
Depreciation & amortization,-,289217,249401,235763
Change in working capital,-,-581603,-308787,-62191
Inventory,-,-310177,-129420,-144503
Other working capital,-,202898,333321,-652597
Other non-cash items,-,181382,215749,-106692
Net cash provided by operating activites,-,338520,1018888,483945
Investments in property plant and equipment,-,-135622,-685567,-1136542
Sales/Maturities of investments,-,28313,-,-
Other investing activites,-,3936,5802,108707
Net cash used for investing activites,-,-103373,-679765,-635201
Net change in cash,-,-141858,307718,278616
Cash at beginning of period,-,911641,603922,325306
Cash at end of period,-,769783,911641,603922
Operating Cash Flow,-,338520,1018888,483945
Capital Expenditure,-,-135622,-685567,-1136542
Free Cash Flow,-,202898,333321,-652597
