Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-3.987,-475.434
Acquisitions net,-,-,-,-,412.328
Net cash used for investing activites,-,-,-,0.021,-50.106
Common stock issued,-,-,-,458.441,10000
Common stock repurchased,-,-,-,-,-740.35
Net cash used privided by (used for) financing activities,-,-,-,458.441,9260
Net change in cash,-392.089,-568.734,-976.729,-2375,5035
Cash at beginning of period,1140,942.033,1969,4953,494.701
Cash at end of period,747.511,405.805,942.033,1969,4953
Capital Expenditure,-,-,-,-3.987,-475.434
Free Cash Flow,-392.089,-568.734,-976.729,-2838,-4650
