Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-162,-325,-494,-564
Purchases of investments,-,-,-408,-
Sales/Maturities of investments,-,436,-,-
Net cash used for investing activites,-162,111,-902,-564
Common stock issued,-,-,71,8069
Common stock repurchased,-,-,-,-511
Net cash used privided by (used for) financing activities,-,-,71,7558
Net change in cash,-3647,-11696,-10655,-4587
Cash at beginning of period,4093,12118,22779,27211
Cash at end of period,446,763,12118,22779
Capital Expenditure,-162,-325,-494,-564
Free Cash Flow,-6573,-12132,-10318,-12145
