Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-1030,-3225,-2771,-1661
Other investing activites,-190.699,703.311,-,-
Net cash used for investing activites,-1221,-2521,-2771,-1661
Common stock issued,2033,48.116,2795,5670
Other financing activites,-,-,-,-313.044
Net cash used privided by (used for) financing activities,1910,48.116,2795,5329
Net change in cash,79.875,-3039,-562.389,2923
Cash at beginning of period,1768,3694,4256,1334
Cash at end of period,1848,655.012,3694,4256
Capital Expenditure,-1030,-3225,-2771,-1661
Free Cash Flow,-1640,-3790,-3357,-2406
