Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,236967,230268,227742,197193
Liabilities,,,,
Total Liabilities,10543,534,1165,4475
Stockholders' Equity,,,,
Common Stock,9036,9036,9036,9036
Retained Earnings,-,-,6955,-
Total stockholders' equity,226424,229734,226577,192718
Total liabilities and stockholders' equity,236967,230268,227742,197193
