Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5061706,4186057,4738182,5813114
Depreciation & amortization,-,361731,389184,424768
Change in working capital,-,1583438,-1561653,5217907
Inventory,-,245874,1320641,4974905
Other working capital,-,5559472,2950051,10981456
Other non-cash items,-,197150,362025,448901
Net cash provided by operating activites,-,6320119,4092922,11014495
Investments in property plant and equipment,-,-760647,-1142871,-33039
Purchases of investments,-,-44200007,-46029556,-41912863
Sales/Maturities of investments,-,41440236,45095107,39212214
Other investing activites,-,-69450,-35364,-52480
Net cash used for investing activites,-,-2814318,-1791991,-2785795
Net change in cash,-,2067552,4805971,4125404
Cash at beginning of period,-,26131079,21325107,17199703
Cash at end of period,-,28198631,26131079,21325107
Operating Cash Flow,-,6320119,4092922,11014495
Capital Expenditure,-,-760647,-1142871,-33039
Free Cash Flow,-,5559472,2950051,10981456
