Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,196214,170430,205939
Liabilities,,,
Total Liabilities,55834,29381,67384
Stockholders' Equity,,,
Common Stock,6.55,6.542,6.528
Retained Earnings,-3311,-1079,-1625
Total stockholders' equity,140380,141049,138555
Total liabilities and stockholders' equity,196214,170430,205939
