Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,21259143,16543337,15055806,8400056
Liabilities,,,,
Total Liabilities,18270219,14296903,12971242,7248945
Stockholders' Equity,,,,
Common Stock,1903,923,920,313
Retained Earnings,848848,674941,514874,454034
Accumulated other comprehensive income,20891,-27374,-17264,-15212
Total stockholders' equity,2988924,2246434,2084564,1151111
Total liabilities and stockholders' equity,21259143,16543337,15055806,8400056
