Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10788,-11933,-29782,-12906,-4.556
Sales/Maturities of investments,-,-,-,-,178.591
Other investing activites,-,-,-,318.581,-
Net cash used for investing activites,-10788,-11933,-29782,-11337,174.035
Debt repayment,-24057,-23953,-403.381,-1363,-3567
Common stock issued,66123,40162,28519,21626,-
Common stock repurchased,-4865,-1831,-1612,-1096,-
Net cash used privided by (used for) financing activities,43548,29412,46659,24305,1745
Net change in cash,4774,-2215,1818,7992,-1569
Cash at beginning of period,999.709,10394,8365,373.307,1942
Cash at end of period,5773,8140,10394,8365,373.307
Capital Expenditure,-10788,-11933,-29782,-12906,-4.556
Free Cash Flow,-38774,-31627,-44840,-17882,-3492
