Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,11318000,10854000,10031000,6072000
Depreciation & amortization,-,10473000,9837000,9434000
Change in working capital,-,-3579000,-2376000,4181000
Inventory,-,-5901000,-1831000,5782000
Other working capital,-,-4040000,3176000,10140000
Other non-cash items,-,2381000,2509000,1945000
Net cash provided by operating activites,-,20794000,19501000,22550000
Investments in property plant and equipment,-,-24834000,-16325000,-12410000
Acquisitions net,-,-507000,-,-1863000
Purchases of investments,-,-1034000,-133000,-
Sales/Maturities of investments,-,-,450000,-
Other investing activites,-,617000,840000,-151000
Net cash used for investing activites,-,-23798000,-14426000,-14345000
Net change in cash,-,1295000,803000,-3151000
Cash at beginning of period,-,6544000,5741000,8499000
Cash at end of period,-,7840000,6544000,5741000
Operating Cash Flow,-,20794000,19501000,22550000
Capital Expenditure,-,-24834000,-16325000,-12410000
Free Cash Flow,-,-4040000,3176000,10140000
