Breakdown,ttm,6/30/2019
Total Revenue,16656,17054
Selling General and Administrative,642.27,612.239
Total Operating Expenses,645.247,633.532
Income Before Tax,16011,16421
Income from Continuing Operations,16011,16421
Net Income,16011,16421
Net Income available to common shareholders,16011,16421
Basic EPS,-,0.12
Diluted EPS,-,0.12
Basic Average Shares,-,137500
Diluted Average Shares,-,137500
