Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,230086,307543,258645,121277
Depreciation & amortization,-,529367,495157,504834
Change in working capital,-,-327486,-579002,-44074
Inventory,-,59097,-56060,-1403
Other working capital,-,464087,225441,375842
Other non-cash items,-,3526,76507,70047
Net cash provided by operating activites,-,681241,300086,670167
Investments in property plant and equipment,-,-217154,-74645,-294325
Purchases of investments,-,-168957,-180520,-195842
Sales/Maturities of investments,-,163780,111120,319892
Other investing activites,-,19901,-20032,-28741
Net cash used for investing activites,-,-203274,-165141,-196674
Net change in cash,-,14866,-78554,789610
Cash at beginning of period,-,2274703,2353257,1563647
Cash at end of period,-,2289570,2274703,2353257
Operating Cash Flow,-,681241,300086,670167
Capital Expenditure,-,-217154,-74645,-294325
Free Cash Flow,-,464087,225441,375842
