Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,299349,299349,281746,281195,257894
Interest Expense,73693,73693,55388,34909,24515
Income Before Tax,117360,117360,123179,119405,96697
Income Tax Expense,19126,19126,17845,46437,25305
Income from Continuing Operations,98234,98234,105334,72968,71392
Net Income,98234,98234,105334,72968,71392
Net Income available to common shareholders,97974,97974,105030,72726,71167
Basic EPS,-,-,3.04,2.09,2.04
Diluted EPS,-,-,3.01,2.09,2.04
Basic Average Shares,-,-,34684,34972,34913
Diluted Average Shares,-,-,34975,34972,34913
