Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2985400,2895900,3014300,2959400
Liabilities,,,,
Total Liabilities,2025500,2077400,2133400,2068100
Stockholders' Equity,,,,
Common Stock,125900,125000,123000,121600
Retained Earnings,782700,712700,666200,693800
Accumulated other comprehensive income,-37900,-96400,36700,32500
Total stockholders' equity,959900,818500,880900,891300
Total liabilities and stockholders' equity,2985400,2895900,3014300,2959400
