Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,408850,503615,496689,594512
Depreciation & amortization,-,16172,20805,25618
Change in working capital,-,216404,674599,-448723
Other working capital,-,880905,1181525,-28728
Other non-cash items,-,7392,8210,-141504
Net cash provided by operating activites,-,880905,1197788,16368
Investments in property plant and equipment,-,-,-16263,-45096
Purchases of investments,-,-1422694,-5795559,-10951549
Sales/Maturities of investments,-,3148656,8348402,5988104
Other investing activites,-,-19546,-47120,-51132
Net cash used for investing activites,-,1706416,2489460,-5059673
Net change in cash,-,2316587,3503942,-5318339
Cash at beginning of period,-,4049937,545994,5864334
Cash at end of period,-,6366524,4049937,545994
Operating Cash Flow,-,880905,1197788,16368
Capital Expenditure,-,-,-16263,-45096
Free Cash Flow,-,880905,1181525,-28728
