Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,735613,735482,666455,496040
Operating Income or Loss,-,-,-,150138
Interest Expense,192971,143663,74557,29298
Income Before Tax,321375,325921,256303,150138
Income Tax Expense,45403,41901,106780,42106
Income from Continuing Operations,275972,284020,149523,108032
Net Income,275972,284020,149523,108032
Net Income available to common shareholders,275867,283834,149028,107866
