Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,31797000,32380000,36798000,33839000
Depreciation & amortization,-,23347000,21357000,19209000
Change in working capital,-,-41066000,-14680000,3129000
Inventory,-,-16335000,-4408000,499000
Other working capital,-,-21288000,5148000,28245000
Other non-cash items,-,-1033000,-1504000,1792000
Net cash provided by operating activites,-,14593000,45489000,63738000
Investments in property plant and equipment,-,-35881000,-40341000,-35493000
Purchases of investments,-,-4000,-49000,-319000
Sales/Maturities of investments,-,4379000,226000,314000
Other investing activites,-,3462000,2506000,-2619000
Net cash used for investing activites,-,-26928000,-36374000,-35944000
Net change in cash,-,-1166000,-746000,4294000
Cash at beginning of period,-,97637000,98384000,94089000
Cash at end of period,-,96470000,97637000,98384000
Operating Cash Flow,-,14593000,45489000,63738000
Capital Expenditure,-,-35881000,-40341000,-35493000
Free Cash Flow,-,-21288000,5148000,28245000
