Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-146.1002,-325.0958,-892.2516,-273.7985
Purchases of investments,-,-,-0.7087,-
Other investing activites,-104.8977,-104.912,600.102,-
Net cash used for investing activites,-145.982,-428.8919,-885.5441,-264.3151
Debt repayment,-,-,-190.2421,1869
Common stock issued,-,-,4236,14.6297
Other financing activites,-,2200,3463,378.5167
Net cash used privided by (used for) financing activities,-,426.0857,4046,2262
Net change in cash,-1567,144.8851,-192.1967,-495.9751
Cash at beginning of period,2150,335.4338,525.285,956.9329
Cash at end of period,582.8765,480.3189,331.3527,480.5799
Capital Expenditure,-146.1002,-325.0958,-892.2516,-273.7985
Free Cash Flow,-1678,-177.4045,-4245,-2767
