Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1769000,1724000,2228000,1697000
Depreciation & amortization,-,992000,737000,755000
Change in working capital,-,-506000,-795000,-321000
Inventory,-,-599000,-454000,-25000
Other working capital,-,1433000,1014000,2268000
Other non-cash items,-,134000,451000,407000
Net cash provided by operating activites,-,2121000,2211000,2800000
Investments in property plant and equipment,-,-688000,-1197000,-532000
Acquisitions net,-,-6226000,-,-
Purchases of investments,-,-157000,-186000,-105000
Sales/Maturities of investments,-,394000,158000,179000
Other investing activites,-,153000,-30000,78000
Net cash used for investing activites,-,-6510000,-1241000,-46000
Net change in cash,-,-1135000,48000,998000
Cash at beginning of period,-,8082000,8034000,6780000
Cash at end of period,-,6947000,8082000,8034000
Operating Cash Flow,-,2121000,2211000,2800000
Capital Expenditure,-,-688000,-1197000,-532000
Free Cash Flow,-,1433000,1014000,2268000
