Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,857900,857900,1062600,952700,417700
Depreciation & amortization,3400,3400,2900,1900,3100
Change in working capital,21900,21900,-22300,-19000,-9000
Inventory,30900,30900,-19500,13600,17600
Other working capital,207600,207600,198700,-26300,97700
Net cash provided by operating activites,210300,210300,200300,-24300,101200
Investments in property plant and equipment,-2700,-2700,-1600,-2000,-3500
Acquisitions net,-148600,-148600,-200200,-137800,-184300
Purchases of investments,-1200,-1200,-18600,-,-
Sales/Maturities of investments,-,-,0,600,0
Other investing activites,-,-,-,-217200,-
Net cash used for investing activites,-219900,-219900,-278100,-334700,80700
Net change in cash,66500,66500,-43000,77600,15400
Cash at beginning of period,66500,66500,109300,32000,16400
Cash at end of period,132500,132500,66500,109300,32000
Operating Cash Flow,210300,210300,200300,-24300,101200
Capital Expenditure,-2700,-2700,-1600,-2000,-3500
Free Cash Flow,207600,207600,198700,-26300,97700
