Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,17850397,15505649,14077052,11422555
Liabilities,,,,
Total Liabilities,15479604,13450651,12212178,10165475
Stockholders' Equity,,,,
Common Stock,1204,1157,1123,913
Retained Earnings,1380612,1192767,1074990,1016674
Accumulated other comprehensive income,-1954,-52512,-33036,-40910
Total stockholders' equity,2370793,2054998,1864874,1257080
Total liabilities and stockholders' equity,17850397,15505649,14077052,11422555
