Breakdown,6/30/2019,6/30/2018,6/30/2017
Total Assets,51822,52509,52283
Liabilities,,,
Total Liabilities,5057,3279,4636
Stockholders' Equity,,,
Common Stock,43656,48454,50664
Retained Earnings,-7319,-7319,-4253
Accumulated other comprehensive income,10428,8094,1236
Total stockholders' equity,46765,49229,47647
Total liabilities and stockholders' equity,51822,52509,52283
