Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,30624,30624,29539,26739,25028
Interest Expense,4321,4321,3034,2049,1843
Income Before Tax,7824,7824,6881,5375,4611
Income Tax Expense,1004,1004,746,2879,937
Income from Continuing Operations,6820,6820,6135,2496,3674
Net Income,6820,6820,6135,2496,3674
Net Income available to common shareholders,6820,6820,6135,2496,3674
Basic EPS,-,-,1.63,0.66,0.98
Diluted EPS,-,-,1.62,0.66,0.98
Basic Average Shares,-,-,3772,3765,3754
Diluted Average Shares,-,-,3779,3773,3764
