Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-44166,411262,172831,77291
Change in working capital,7658,-6475,3056,1200
Other working capital,20182,300,8193,7116
Net cash provided by operating activites,20182,300,8193,7116
Purchases of investments,-56044,-119419,-114133,-169235
Other investing activites,-,130386,119270,4000
Net cash used for investing activites,-8938,10967,5137,-165235
Net change in cash,-2002,-890,876,64
Cash at beginning of period,2015,981,105,41
Cash at end of period,13,91,981,105
Operating Cash Flow,20182,300,8193,7116
Free Cash Flow,20182,300,8193,7116
