Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,104764,104764,101683,83120,82322
Interest Expense,4757,4757,3536,1744,2269
Income Before Tax,45894,45894,43417,28838,36480
Income Tax Expense,11653,11653,10795,12862,13346
Income from Continuing Operations,34241,34241,32622,15976,23134
Net Income,34241,34241,32622,15976,23134
Net Income available to common shareholders,34241,34241,32622,15976,23134
Basic EPS,-,-,2.35,1.29,1.91
Diluted EPS,-,-,2.33,1.27,1.89
Basic Average Shares,-,-,13864,12392,12146
Diluted Average Shares,-,-,14029,12546,12230
