Breakdown,ttm,2/28/2019,3/31/2017
Net Income,14349000,41164000,20397000
Depreciation & amortization,-,15269000,13247000
Change in working capital,-,-17810000,-7943000
Inventory,-,-9106000,-3324000
Other working capital,-,9775000,18598000
Other non-cash items,-,677000,3750000
Net cash provided by operating activites,-,32832000,33752000
Investments in property plant and equipment,-,-23057000,-15154000
Acquisitions net,-,-4239000,-151000
Purchases of investments,-,-1458000,-3633000
Sales/Maturities of investments,-,98000,363000
Other investing activites,-,-97000,-564000
Net cash used for investing activites,-,-27111000,-18936000
Net change in cash,-,-2924000,-2198000
Cash at beginning of period,-,42213000,31656000
Cash at end of period,-,39289000,29735000
Operating Cash Flow,-,32832000,33752000
Capital Expenditure,-,-23057000,-15154000
Free Cash Flow,-,9775000,18598000
