Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,211279,211279,211747,177554,175840
Interest Expense,70982,70982,57101,43504,29348
Income Before Tax,87775,87775,84301,70433,59674
Income Tax Expense,13221,13221,10163,16121,10325
Income from Continuing Operations,74554,74554,74138,54312,49349
Net Income,74554,74554,74138,54312,49349
Net Income available to common shareholders,74554,74554,74138,54312,49349
Basic EPS,-,-,2.12,1.82,1.81
Diluted EPS,-,-,2.11,1.81,1.81
Basic Average Shares,-,-,34951,29841,27114
Diluted Average Shares,-,-,35116,30047,27242
