Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,15809000,16855000,17523000,7054000
Depreciation & amortization,7670000,6541000,5282000,5157000
Change in working capital,-6130000,-14508000,-11068000,3890000
Inventory,-699000,-9549000,-1307000,106000
Other working capital,2792000,-4165000,9848000,10890000
Other non-cash items,-2583000,-2640000,2256000,722000
Net cash provided by operating activites,13467000,4186000,16220000,17380000
Investments in property plant and equipment,-10675000,-8351000,-6372000,-6490000
Acquisitions net,-,-21716000,-,-
Purchases of investments,-652000,-1980000,-11599000,-7598000
Sales/Maturities of investments,5373000,3617000,7171000,4199000
Other investing activites,-161000,-111000,1524000,-478000
Net cash used for investing activites,-6012000,-28458000,-9169000,-10160000
Net change in cash,3022000,-28071000,3565000,-3998000
Cash at beginning of period,28265000,58923000,55358000,59357000
Cash at end of period,31594000,30852000,58923000,55358000
Operating Cash Flow,13467000,4186000,16220000,17380000
Capital Expenditure,-10675000,-8351000,-6372000,-6490000
Free Cash Flow,2792000,-4165000,9848000,10890000
