Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1045,-1045,-1060,-428.384,-51.577
Net cash used for investing activites,-1045,-1045,-1060,-428.384,-51.577
Debt repayment,-500,-500,-,-,-180.155
Common stock issued,11267,11267,4559,4567,7545
Common stock repurchased,-719.23,-719.23,-163.376,-181.958,-658.408
Other financing activites,-214.47,-214.47,30.603,46.252,46.699
Net cash used privided by (used for) financing activities,10333,10333,4426,4431,6753
Net change in cash,4289,4289,-1085,-1129,3136
Cash at beginning of period,1229,1229,2363,3497,378.448
Cash at end of period,5485,5485,1229,2363,3497
Capital Expenditure,-1045,-1045,-1060,-428.384,-51.577
Free Cash Flow,-6044,-6044,-5511,-5560,-3617
