Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1118000,2015000,3638000,2153000
Depreciation & amortization,-,4312000,4143000,4177000
Change in working capital,-,244000,-2426000,-508000
Inventory,-,-655000,-1203000,-199000
Other working capital,-,-492000,-1511000,606000
Other non-cash items,-,98000,841000,-717000
Net cash provided by operating activites,-,7013000,5520000,5226000
Investments in property plant and equipment,-,-7505000,-7031000,-4620000
Purchases of investments,-,-11000,-10000,-9000
Sales/Maturities of investments,-,324000,43000,1000
Other investing activites,-,-155000,-71000,-231000
Net cash used for investing activites,-,-7278000,-6821000,-3159000
Net change in cash,-,9108000,-6343000,1088000
Cash at beginning of period,-,16327000,22671000,21582000
Cash at end of period,-,25436000,16327000,22671000
Operating Cash Flow,-,7013000,5520000,5226000
Capital Expenditure,-,-7505000,-7031000,-4620000
Free Cash Flow,-,-492000,-1511000,606000
