Breakdown,6/30/2019,6/30/2018,6/30/2016
Total Assets,656445,495684,323400
Liabilities,,,
Total Liabilities,26342,36656,0
Stockholders' Equity,,,
Common Stock,600146,398171,323400
Retained Earnings,-13136,-7200,-
Accumulated other comprehensive income,43093,68057,-
Total stockholders' equity,630103,459028,323400
Total liabilities and stockholders' equity,656445,495684,323400
