Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1810000,2283000,888000,360000
Depreciation & amortization,-,3031000,3035000,2945000
Change in working capital,-,71000,-437000,-679000
Other working capital,-,3844000,-2249000,-997000
Other non-cash items,-,630000,458000,909000
Net cash provided by operating activites,-,6449000,4139000,4130000
Investments in property plant and equipment,-,-2605000,-6388000,-5127000
Acquisitions net,-,-6000,-40000,-
Purchases of investments,-,-,-,-17000
Other investing activites,-,59000,-401000,-170000
Net cash used for investing activites,-,-2488000,-6708000,-5155000
Net change in cash,-,1998000,-172000,1046000
Cash at beginning of period,-,4556000,4704000,3658000
Cash at end of period,-,6568000,4556000,4704000
Operating Cash Flow,-,6449000,4139000,4130000
Capital Expenditure,-,-2605000,-6388000,-5127000
Free Cash Flow,-,3844000,-2249000,-997000
