Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4354000,4354000,3908000,3685000,3269000
Depreciation & amortization,608000,608000,332000,109000,86000
Change in working capital,-141000,-141000,821000,161000,308000
Inventory,1000,1000,-4000,0,0
Other working capital,4208000,4208000,4707000,3629000,3490000
Other non-cash items,157000,157000,17000,72000,38000
Net cash provided by operating activites,4692000,4692000,5061000,3946000,3693000
Investments in property plant and equipment,-484000,-484000,-354000,-317000,-203000
Acquisitions net,-,-,-2291000,-,-
Purchases of investments,-,-,-,-2905000,-
Sales/Maturities of investments,500000,500000,-,-,-
Other investing activites,-23000,-23000,-8000,-334000,-91000
Net cash used for investing activites,-11000,-11000,-2647000,-3556000,-294000
Net change in cash,1812000,1812000,315000,-848000,2613000
Cash at beginning of period,9585000,9585000,9269000,10118000,7504000
Cash at end of period,11397000,11397000,9585000,9269000,10118000
Operating Cash Flow,4692000,4692000,5061000,3946000,3693000
Capital Expenditure,-484000,-484000,-354000,-317000,-203000
Free Cash Flow,4208000,4208000,4707000,3629000,3490000
