Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-78.338,-78.338
Acquisitions net,485.607,485.607
Other investing activites,0.001,0.001
Net cash used for investing activites,407.27,407.27
Debt repayment,-595.45,-595.45
Common stock issued,5504,5504
Common stock repurchased,-241.749,-241.749
Other financing activites,-29.266,-29.266
Net cash used privided by (used for) financing activities,4638,4638
Net change in cash,3295,3295
Cash at beginning of period,0.003,0.003
Cash at end of period,3295,3295
Capital Expenditure,-78.338,-78.338
Free Cash Flow,-1828,-1828
