Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,220453,220453,193674,188622,165397
Interest Expense,60453,60453,39562,24966,17647
Income Before Tax,93944,93944,80289,80049,62839
Income Tax Expense,23272,23272,16888,27469,21321
Income from Continuing Operations,70672,70672,63401,52580,41518
Net Income,70672,70672,63401,52580,41518
Net Income available to common shareholders,70076,70076,62819,52100,41122
Basic EPS,-,-,1.32,1.10,0.96
Diluted EPS,-,-,1.32,1.09,0.95
Basic Average Shares,-,-,47570,47438,42912
Diluted Average Shares,-,-,47764,47674,43114
