Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4921520,4700744,4430002,4054570
Liabilities,,,,
Total Liabilities,4424366,4246914,4000802,3646583
Stockholders' Equity,,,,
Common Stock,199,198,197,191
Retained Earnings,150703,117432,96547,91594
Accumulated other comprehensive income,-8341,-15112,-14939,-13064
Total stockholders' equity,497154,453830,429200,407987
Total liabilities and stockholders' equity,4921520,4700744,4430002,4054570
