Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-766.07,-2001,-,-100,-480.441
Sales/Maturities of investments,-,15.956,-,-,1539
Net cash used for investing activites,94.94,-1985,-,-100,2054
Debt repayment,-,-,-,-,-429.026
Common stock issued,-,3539,143.643,211.28,129
Net cash used privided by (used for) financing activities,-,3539,143.643,211.28,-300.026
Net change in cash,-101.528,1170,113.21,-318.616,637.293
Cash at beginning of period,1551,284.429,171.219,489.835,212.632
Cash at end of period,1449,1455,284.429,171.219,849.925
Free Cash Flow,-305.286,-383.371,-30.433,-429.896,-1117
