Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1541037,1146504,2031519,1117975
Depreciation & amortization,-,5999390,5304516,5363947
Change in working capital,-,361846,-1105607,-293939
Inventory,-,-43486,-4784,41573
Other working capital,-,2814204,2079990,1048135
Other non-cash items,-,99952,6791,-43825
Net cash provided by operating activites,-,7614921,6881447,6450264
Investments in property plant and equipment,-,-4800717,-4801457,-5402129
Acquisitions net,-,-6542222,-,-
Purchases of investments,-,-1404741,-987,-323
Sales/Maturities of investments,-,1530158,260231,300000
Other investing activites,-,-146785,-1332658,1377658
Net cash used for investing activites,-,-11361234,-5872077,-3723545
Net change in cash,-,-2566311,-109404,1458325
Cash at beginning of period,-,5585100,5694504,4236178
Cash at end of period,-,3018788,5585100,5694504
Operating Cash Flow,-,7614921,6881447,6450264
Capital Expenditure,-,-4800717,-4801457,-5402129
Free Cash Flow,-,2814204,2079990,1048135
