Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-263.4005,-270.1665,-572.6724,-1004
Acquisitions net,-,-3683,10406,-756.4411
Purchases of investments,-,-,-578.3305,-2901
Other investing activites,1289,1365,-1184,-
Net cash used for investing activites,-3193,-2545,8687,-4786
Dividends Paid,-,-,-4378,-
Other financing activites,-810.9437,-21.7402,-15.6711,-
Net cash used privided by (used for) financing activities,-810.9437,-21.7402,-4393,-
Net change in cash,-5558,-4027,3919,-6003
Cash at beginning of period,10785,8919,4607,9347
Cash at end of period,5227,4894,8526,3381
Capital Expenditure,-263.4005,-270.1665,-572.6724,-1004
Free Cash Flow,-1818,-1730,-947.2958,-2220
