Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,105656,105656,83169,69989,65786
Interest Expense,12954,12954,7570,4092,3308
Income Before Tax,39561,39561,16779,22232,23836
Income Tax Expense,5683,5683,2640,6360,6619
Income from Continuing Operations,33878,33878,14139,15872,17217
Net Income,33878,33878,14139,15872,17217
Net Income available to common shareholders,33231,33231,13180,14628,15716
Basic EPS,-,-,1.10,1.48,1.96
Diluted EPS,-,-,1.02,1.28,1.57
Basic Average Shares,-,-,11972,9907,8011
Diluted Average Shares,-,-,13856,12353,10951
