Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-,-366.4
Net cash used for investing activites,-406.793,4515
Net change in cash,-3513,2306
Cash at beginning of period,4407,12.025
Cash at end of period,893.295,2318
Capital Expenditure,-,-366.4
Free Cash Flow,-4255,-2576
