Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-7,-53,-43,-55,-133
Purchases of investments,-36746,-54930,-6515,-615,-3150
Sales/Maturities of investments,908,3639,446,-,-
Other investing activites,-,1570,-5471,-2106,3108
Net cash used for investing activites,-37275,-49774,-11583,-1801,3825
Common stock issued,-,67537,2794,28527,357
Dividends Paid,-26257,-21465,-13694,-11907,-4033
Net cash used privided by (used for) financing activities,3740,46072,-10900,16620,-3676
Net change in cash,-1134,17388,-1613,-2599,-26
Cash at beginning of period,9018,9332,10945,13544,13570
Cash at end of period,7884,26720,9332,10945,13544
Capital Expenditure,-7,-53,-43,-55,-133
Free Cash Flow,32394,21037,20827,-17473,-308
