Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,25941,30161,347703,50274
Depreciation & amortization,-,68776,68582,70744
Change in working capital,-22278,-44682,-29235,32282
Inventory,-,-16675,-72780,47591
Other working capital,82432,12433,27951,-6041
Other non-cash items,-,7251,-5819,13288
Net cash provided by operating activites,142077,73864,81818,76235
Investments in property plant and equipment,-59645,-61431,-53867,-82276
Acquisitions net,-,-2520,-,0
Purchases of investments,-2003,-27931,-45032,-17479
Sales/Maturities of investments,-,0,45092,33202
Other investing activites,-,-,328807,36800
Net cash used for investing activites,-30539,-62531,282831,118735
Net change in cash,11315,-200525,-52281,52404
Cash at beginning of period,570842,802085,839440,799432
Cash at end of period,582157,590979,802085,839440
Operating Cash Flow,142077,73864,81818,76235
Capital Expenditure,-59645,-61431,-53867,-82276
Free Cash Flow,82432,12433,27951,-6041
