Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-10307,-10307,-448.867,-1292,-1213
Acquisitions net,-,-,-,-,-59.5
Other investing activites,3.376,3.376,89.5,271.318,-
Net cash used for investing activites,-10281,-10281,-356.785,-1021,-1272
Debt repayment,-,-,-20690,-369.63,-324.459
Common stock issued,3.4,3.4,-,0.766,-
Other financing activites,-,-,-256.41,-,-
Net cash used privided by (used for) financing activities,3.4,3.4,-20946,-368.864,45.171
Net change in cash,22962,22962,-19538,7300,5822
Cash at beginning of period,12133,12133,29495,20402,14350
Cash at end of period,37193,37193,12133,26260,20402
Capital Expenditure,-10307,-10307,-448.867,-1292,-1213
Free Cash Flow,22933,22933,1316,7397,5836
