Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,105054000,99561000,100926000,95576000
Selling General and Administrative,57514000,58735000,57745000,57288000
Total Operating Expenses,75858000,74687000,78121000,73920000
Interest Expense,2721000,3561000,3143000,2877000
Income Before Tax,27103000,22590000,25039000,23291000
Income Tax Expense,8021000,4919000,6725000,6414000
Income from Continuing Operations,19082000,17671000,18314000,16877000
Net Income,19080000,17670000,18314000,16114000
Net Income available to common shareholders,19080000,17670000,18314000,16114000
Basic EPS,-,237.90,246.87,215.70
Diluted EPS,-,237.90,246.45,214.70
Basic Average Shares,-,74275,74185,74695
Diluted Average Shares,-,74275,74311,75054
