Breakdown,ttm,9/30/2019
Net Income,207013,16384
Depreciation & amortization,-,64072
Change in working capital,-,-132747
Inventory,-,-141707
Other working capital,-,284321
Other non-cash items,-,50305
Net cash provided by operating activites,-,367730
Investments in property plant and equipment,-,-83409
Acquisitions net,-,-2394580
Sales/Maturities of investments,-,33810
Other investing activites,-,3530
Net cash used for investing activites,-,-2438071
Net change in cash,-,-2092281
Cash at beginning of period,-,4062740
Cash at end of period,-,1970458
Operating Cash Flow,-,367730
Capital Expenditure,-,-83409
Free Cash Flow,-,284321
