Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,339946,592728,449928,-464221
Depreciation & amortization,-,49944,9513,8514
Change in working capital,-,-2946901,420968,2192778
Inventory,-,-3419601,215445,231832
Other working capital,-,-2750813,254425,1761032
Other non-cash items,-,-46602,-605286,-36295
Net cash provided by operating activites,-,-2750813,254425,1761032
Acquisitions net,-,-,-15993,-
Purchases of investments,-,-200000,-1505030,-
Other investing activites,-,25553,3901,5856
Net cash used for investing activites,-,1376474,-1190257,6046
Net change in cash,-,562404,-1329027,1488634
Cash at beginning of period,-,970990,2300018,811383
Cash at end of period,-,1533395,970990,2300018
Operating Cash Flow,-,-2750813,254425,1761032
Free Cash Flow,-,-2750813,254425,1761032
