Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,264048,829773,951091,644964
Depreciation & amortization,-,471585,420231,424935
Change in working capital,-,-75669,-785388,-325457
Inventory,-,-131165,-402348,-302691
Other working capital,-,546381,428105,452215
Other non-cash items,-,30308,151656,-3902
Net cash provided by operating activites,-,1113613,773814,925642
Investments in property plant and equipment,-,-567232,-345709,-473427
Sales/Maturities of investments,-,-,135700,-
Other investing activites,-,-43,3788,-6996
Net cash used for investing activites,-,-567232,-202221,-477383
Net change in cash,-,135796,204367,-169647
Cash at beginning of period,-,2597981,2393613,2563260
Cash at end of period,-,2733777,2597981,2393613
Operating Cash Flow,-,1113613,773814,925642
Capital Expenditure,-,-567232,-345709,-473427
Free Cash Flow,-,546381,428105,452215
