Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-435,-294,-347,-755,-345
Acquisitions net,-,-12701,-,-,-27
Sales/Maturities of investments,-,33995,-,-,-
Net cash used for investing activites,30584,21000,-347,-737,-372
Debt repayment,-,-,-80000,-,-7473
Common stock issued,414,1245,22280,1339,19078
Dividends Paid,-15290,-13291,-9499,-6930,-5637
Net cash used privided by (used for) financing activities,1478,-3970,30128,24398,25968
Net change in cash,-6738,-10932,25202,-6077,14765
Cash at beginning of period,23663,46308,21106,27183,12418
Cash at end of period,16925,35376,46308,21106,27183
Capital Expenditure,-435,-294,-347,-755,-345
Free Cash Flow,-39235,-28256,-4926,-30493,-11176
