Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-792,-684,-725,-820,-723
Net cash used for investing activites,-789,-681,-725,-804,-577
Common stock issued,-,4200,2015,-,-
Common stock repurchased,-,-168,-104,-,-
Net cash used privided by (used for) financing activities,-,4032,1911,-,-
Net change in cash,3567,2298,167,-2059,-150
Cash at beginning of period,1784,2703,2536,4595,4745
Cash at end of period,5351,5001,2703,2536,4595
Capital Expenditure,-792,-684,-725,-820,-723
Free Cash Flow,-1873,-1737,-1744,-2075,-296
