Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6.298,-374.367,-3766,-2306,-1578
Purchases of investments,-,-72.018,-,-,-
Sales/Maturities of investments,-,3271,-,-,-
Other investing activites,-,-,-2937,-,-
Net cash used for investing activites,3196,2828,-6703,-2293,-1578
Common stock issued,-,3700,7307,2233,1407
Common stock repurchased,-,-239.063,-737,-152.536,-34.174
Net cash used privided by (used for) financing activities,-3591,-123.356,9418,2081,1373
Net change in cash,-3305,-53.356,388,-1498,-1680
Cash at beginning of period,8031,3047,2605,4136,5785
Cash at end of period,4726,3363,3047,2605,4136
Capital Expenditure,-6.298,-374.367,-3766,-2306,-1578
Free Cash Flow,-2916,-3132,-6093,-3592,-3053
