Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-545000,-818000,-26846000,1472000
Depreciation & amortization,-,1224000,1212000,1284000
Change in working capital,-,-26618000,8024000,14805000
Inventory,-,5091000,17716000,4344000
Other working capital,-,-26724000,-23573000,18183000
Other non-cash items,-,2941000,66000,1940000
Net cash provided by operating activites,-,-25828000,-22824000,18984000
Investments in property plant and equipment,-,-896000,-749000,-801000
Purchases of investments,-,-,-8000,-54000
Sales/Maturities of investments,-,500000,2928000,1418000
Other investing activites,-,1113000,-432000,-17550000
Net cash used for investing activites,-,1354000,6386000,-16650000
Net change in cash,-,-8628000,-16167000,-1422000
Cash at beginning of period,-,106536000,122703000,124125000
Cash at end of period,-,97907000,106536000,122703000
Operating Cash Flow,-,-25828000,-22824000,18984000
Capital Expenditure,-,-896000,-749000,-801000
Free Cash Flow,-,-26724000,-23573000,18183000
