Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-270.821,-308.54,-1453
Net cash used for investing activites,-271.437,-275.64,-1453
Debt repayment,-66.552,-82.296,-43.979
Common stock issued,1407,16,7435
Common stock repurchased,-,-,-809.738
Other financing activites,-,182.601,-
Net cash used privided by (used for) financing activities,1412,183.018,6883
Net change in cash,682.415,-2184,3351
Cash at beginning of period,1405,3487,136.206
Cash at end of period,2088,1303,3487
Capital Expenditure,-270.821,-308.54,-1453
Free Cash Flow,-728.818,-2400,-3532
