Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-1074,-3434,-147.607,-36.797
Other investing activites,-,-,-50,-
Net cash used for investing activites,-1084,-3434,-197.607,-36.797
Common stock issued,-,6006,5159,3482
Common stock repurchased,-,-12.655,-298.416,-205.069
Net cash used privided by (used for) financing activities,7759,6493,4861,3277
Net change in cash,-352.629,-3747,3688,3019
Cash at beginning of period,1034,6707,3019,0.001
Cash at end of period,681.757,2956,6707,3019
Capital Expenditure,-1074,-3434,-147.607,-36.797
Free Cash Flow,-8102,-10240,-1122,-258.342
