Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,36941,36941,28984,27466,27224
Interest Expense,4700,4700,2461,1478,969
Income Before Tax,8465,8465,8488,8555,8252
Income Tax Expense,1294,1294,1155,2387,2162
Income from Continuing Operations,7171,7171,7333,6168,6090
Net Income,7171,7171,7333,6168,6090
Net Income available to common shareholders,7171,7171,7333,6168,6090
Basic EPS,-,-,2.03,1.70,1.68
Diluted EPS,-,-,2.02,1.70,1.68
Basic Average Shares,-,-,3612,3618,3629
Diluted Average Shares,-,-,3630,3618,3629
