Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2491,-2491,-2429,-3625,-3662
Net cash used for investing activites,-2389,-2389,-2344,-3448,-3511
Debt repayment,-7344,-7344,1878,-69,-4895
Dividends Paid,-6656,-6656,-10460,-10450,-8550
Other financing activites,-2468,-2468,-,-,-
Net cash used privided by (used for) financing activities,-16468,-16468,-8582,-10519,-13445
Net change in cash,4613,4613,-2175,3232,-1051
Cash at beginning of period,1372,1372,3450,15,1040
Cash at end of period,5970,5970,1372,3450,15
Capital Expenditure,-2491,-2491,-2429,-3625,-3662
Free Cash Flow,20979,20979,6322,13574,12243
