Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1276000,1883000,2862000,1951000
Depreciation & amortization,1470000,1394000,1433000,1568000
Change in working capital,-930000,-1591000,-73000,-115000
Inventory,-686000,-1193000,-990000,-180000
Other working capital,327000,360000,3198000,2465000
Other non-cash items,-1000,58000,545000,-5000
Net cash provided by operating activites,2675000,2525000,4215000,3100000
Investments in property plant and equipment,-2348000,-2165000,-1017000,-635000
Purchases of investments,-120000,-119000,-142000,-230000
Sales/Maturities of investments,118000,148000,51000,62000
Other investing activites,-138000,-202000,361000,191000
Net cash used for investing activites,-2480000,-2351000,-960000,-507000
Net change in cash,-1926000,859000,-14000,421000
Cash at beginning of period,9167000,6583000,6597000,6175000
Cash at end of period,7339000,7442000,6583000,6597000
Operating Cash Flow,2675000,2525000,4215000,3100000
Capital Expenditure,-2348000,-2165000,-1017000,-635000
Free Cash Flow,327000,360000,3198000,2465000
