Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3301554,3185329,2936912,2789076
Depreciation & amortization,-,996249,968487,969622
Change in working capital,-,-168467,32974,-853650
Inventory,-,-10284,-6509,-9892
Other working capital,-,1148114,3621367,1873187
Other non-cash items,-,-53659,50959,-59880
Net cash provided by operating activites,-,3570667,4323769,3032424
Investments in property plant and equipment,-,-2422553,-702402,-1159237
Purchases of investments,-,-756697,-1739968,-119570
Sales/Maturities of investments,-,290015,544500,144252
Other investing activites,-,123054,59851,195716
Net cash used for investing activites,-,-2743515,-1826071,-851936
Net change in cash,-,1089338,2175352,3136046
Cash at beginning of period,-,13917228,11741876,8605829
Cash at end of period,-,15006567,13917228,11741876
Operating Cash Flow,-,3570667,4323769,3032424
Capital Expenditure,-,-2422553,-702402,-1159237
Free Cash Flow,-,1148114,3621367,1873187
