Breakdown,ttm,3/31/2019,3/31/2018
Net Income,12596,12596,11436
Depreciation & amortization,146181,146181,160380
Change in working capital,-77816,-77816,-63652
Inventory,-33155,-33155,-85027
Other working capital,-44297,-44297,-118929
Other non-cash items,26827,26827,5189
Net cash provided by operating activites,118816,118816,117184
Investments in property plant and equipment,-163113,-163113,-236113
Other investing activites,24715,24715,9377
Net cash used for investing activites,-133769,-133769,-225522
Net change in cash,195168,195168,130967
Cash at beginning of period,376720,376720,245752
Cash at end of period,571889,571889,376720
Operating Cash Flow,118816,118816,117184
Capital Expenditure,-163113,-163113,-236113
Free Cash Flow,-44297,-44297,-118929
