Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-6.155,-36.116,-78.638
Purchases of investments,-,-,-,-93.101,-
Net cash used for investing activites,-,4.426,-6.155,-129.217,1418
Debt repayment,-,-,-,-235.883,-
Common stock issued,-,1778,934.008,-657.427,9410
Net cash used privided by (used for) financing activities,-,1778,934.008,-893.31,9625
Net change in cash,4979,425.471,-2312,-6093,9535
Cash at beginning of period,380.481,1130,3442,9535,0.51
Cash at end of period,5359,1556,1130,3442,9535
Capital Expenditure,-,-,-6.155,-36.116,-78.638
Free Cash Flow,-1324,-1357,-3246,-5107,-1587
