Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-657.956,-2960,-3866,-5113,-10111
Acquisitions net,-,-,-,-,-262.922
Net cash used for investing activites,-657.956,-2960,-3866,-5113,-10374
Debt repayment,-,-,-,-2401,-
Common stock issued,-,-,-,11530,9996
Common stock repurchased,-,-,-,-81.832,-318.879
Net cash used privided by (used for) financing activities,1068,2007,-,11448,9677
Net change in cash,87.675,-1211,-6226,4660,-4779
Cash at beginning of period,228.1,1370,7449,2848,7499
Cash at end of period,315.775,323.132,1370,7449,2848
Capital Expenditure,-657.956,-2960,-3866,-5113,-10111
Free Cash Flow,-980.272,-3219,-6226,-6789,-14193
