Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,333479,289847,288605
Liabilities,,,
Total Liabilities,19283,403,415
Stockholders' Equity,,,
Common Stock,14768,14768,14768
Total stockholders' equity,314196,289444,288190
Total liabilities and stockholders' equity,333479,289847,288605
